ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
932368.CSI,20220725,3064.8501,,,,3072.184,-7.3339,-0.2387,17626391.06,15578931.235
932368.CSI,20220726,3098.0238,,,,3064.8501,33.1737,1.0824,13840483.48,12206955.462
932368.CSI,20220727,3091.3444,,,,3098.0238,-6.6794,-0.2156,12933733.67,12532755.412
932368.CSI,20220728,3108.3348,,,,3091.3444,16.9904,0.5496,17206712.09,15889375.648
932368.CSI,20220729,3064.553,,,,3108.3348,-43.7818,-1.4085,19186032.91,18101011.072
932368.CSI,20220801,3083.9938,,,,3064.553,19.4408,0.6344,17504367.34,16560330.989
932368.CSI,20220802,3003.507,,,,3083.9938,-80.4868,-2.6098,27979479.61,23064288.851
932368.CSI,20220803,2976.3561,,,,3003.507,-27.1509,-0.904,20592051.2,17375495.166
932368.CSI,20220804,2982.5719,,,,2976.3561,6.2158,0.2088,14469429.09,13087330.02
932368.CSI,20220805,2993.3084,,,,2982.5719,10.7365,0.36,16635487.36,15204178.208
932368.CSI,20220808,3054.9912,,,,2993.3084,61.6828,2.0607,15365519.96,14677455.544
932368.CSI,20220809,3100.873,,,,3054.9912,45.8818,1.5019,17447782.9,16670670.931
932368.CSI,20220810,3081.6029,,,,3100.873,-19.2701,-0.6214,16948698.37,15376295.501
932368.CSI,20220811,3115.7155,,,,3081.6029,34.1126,1.107,19760464.73,15711904.09
932368.CSI,20220812,3160.1843,,,,3115.7155,44.4688,1.4272,19702915.04,17625986.125
932368.CSI,20220815,3166.1448,,,,3160.1843,5.9605,0.1886,18769453.57,18389143.543
932368.CSI,20220816,3155.6274,,,,3166.1448,-10.5174,-0.3322,15899351.44,16180355.484
932368.CSI,20220817,3163.452,,,,3155.6274,7.8246,0.248,17717441.91,16382311.451
932368.CSI,20220818,3128.75,,,,3163.452,-34.702,-1.097,18269925.83,15887342.88
932368.CSI,20220819,3166.709,,,,3128.75,37.959,1.2132,22189881.51,20049338.059
932368.CSI,20220822,3212.2369,,,,3166.709,45.5279,1.4377,21282807.98,21402441.525
932368.CSI,20220823,3230.9824,,,,3212.2369,18.7455,0.5836,18938173.42,20343918.618
932368.CSI,20220824,3196.1541,,,,3230.9824,-34.8283,-1.0779,22867765.51,22009976.33
932368.CSI,20220825,3303.5787,,,,3196.1541,107.4246,3.3611,26856876.55,28408878.491
932368.CSI,20220826,3252.4319,,,,3303.5787,-51.1468,-1.5482,20510966.31,22075120.401
932368.CSI,20220829,3278.2084,,,,3252.4319,25.7765,0.7925,19422774.12,20145743.27
932368.CSI,20220830,3219.1668,,,,3278.2084,-59.0416,-1.801,22958865.63,24136069.182
932368.CSI,20220831,3188.771,,,,3219.1668,-30.3958,-0.9442,26132595.7,25376821.459
932368.CSI,20220901,3211.5883,,,,3188.771,22.8173,0.7156,21439480.56,21004534.074
